Kegg-id	Pubchem-id	Chembl-id	CAS-number
cpd:C00169	3469	CHEMBL369105	590-55-6
cpd:C00170	3470	CHEMBL277041	2457-80-9
cpd:C00171	3471		
cpd:C00172	3472		
cpd:C00173	3473		
cpd:C00174	3474		
cpd:C00175	3475		22541-53-3
cpd:C00176	3476		
cpd:C00177	3477		57-12-5
cpd:C00178	3478	CHEMBL993	65-71-4
cpd:C00179	3479	CHEMBL58343	306-60-5
cpd:C00180	3480	CHEMBL541	65-85-0
cpd:C00181	3481	CHEMBL502135	58-86-6
cpd:C00182	3482		9005-79-2
cpd:C00183	3483	CHEMBL43068	72-18-4
cpd:C00184	3484	CHEMBL1229937	96-26-4
cpd:C00185	3485	CHEMBL1231670 CHEMBL1614877	16462-44-5
cpd:C00186	3486	CHEMBL330546	79-33-4
cpd:C00187	3487	CHEMBL112570 CHEMBL1867358	57-88-5
cpd:C00188	3488	CHEMBL291747	72-19-5
cpd:C00189	3489	CHEMBL104943	141-43-5
cpd:C00190	3490		3616-06-6
cpd:C00191	3491	CHEMBL1159524 CHEMBL496672	6556-12-3
cpd:C00192	3492	CHEMBL1191361	7803-49-8
cpd:C00193	3493	CHEMBL15972	
cpd:C00194	3494		13870-90-1
cpd:C00195	3495		
cpd:C00196	3496	CHEMBL1432	303-38-8
cpd:C00197	3497	CHEMBL1160563	
cpd:C00198	3498	CHEMBL1200829	90-80-2
cpd:C00199	3499		551-85-9
cpd:C00200	3500		299-11-6
cpd:C00201	3501		
cpd:C00202	3502	CHEMBL1025	55-91-4
cpd:C00203	3503		
cpd:C00204	3504		17510-99-5
cpd:C00205	3505		
cpd:C00206	3506		2793-06-8
cpd:C00207	3507	CHEMBL14253	67-64-1
cpd:C00208	3508	CHEMBL1908365	69-79-4
cpd:C00209	3509	CHEMBL146755	144-62-7
cpd:C00210	3510		14709-02-5
cpd:C00211	3511		9064-67-9
cpd:C00212	3512	CHEMBL477	58-61-7
cpd:C00213	3513	CHEMBL304383	107-97-1
cpd:C00214	3514	CHEMBL52609	50-89-5
cpd:C00215	3515		
cpd:C00216	3516	CHEMBL1222249	10323-20-3
cpd:C00217	3517	CHEMBL76232	6893-26-1
cpd:C00218	3518	CHEMBL43280	74-89-5
cpd:C00219	3519	CHEMBL15594	506-32-1
cpd:C00220	3520	CHEMBL405110	61-73-4
cpd:C00221	3521	CHEMBL1222250 CHEMBL1614854	492-61-5
cpd:C00222	3522		
cpd:C00223	3523	CHEMBL250086	119785-99-8
cpd:C00224	3524	CHEMBL572546	485-84-7
cpd:C00225	3525	CHEMBL458019	1910-42-5
cpd:C00226	3526		
cpd:C00227	3527		
cpd:C00229	3528		
cpd:C00230	3529	CHEMBL37537	99-50-3
cpd:C00231	3530		
cpd:C00232	3531		692-29-5
cpd:C00233	3532	CHEMBL445647	816-66-0
cpd:C00234	3533		2800-34-2
cpd:C00235	3534	CHEMBL343480	358-72-5
cpd:C00236	3535		38168-82-0
cpd:C00237	3536	CHEMBL1231840	630-08-0
cpd:C00238	3537		24203-36-9
cpd:C00239	3538	CHEMBL374699	1032-65-1
cpd:C00240	3539		
cpd:C00241	3540		
cpd:C00242	3541	CHEMBL219568	73-40-5
cpd:C00243	3542	CHEMBL417016	63-42-3
cpd:C00244	3543	CHEMBL1352	7697-37-2
cpd:C00245	3544	CHEMBL239243	107-35-7
cpd:C00246	3545	CHEMBL14227	107-92-6
cpd:C00247	3546		87-79-6
cpd:C00248	3547	CHEMBL1403899	940-69-2
cpd:C00249	3548	CHEMBL82293	57-10-3
cpd:C00250	3549	CHEMBL102970	66-72-8
cpd:C00251	3550		617-12-9
cpd:C00252	3551	CHEMBL134478 CHEMBL66675	499-40-1
cpd:C00253	3552	CHEMBL573	59-67-6
cpd:C00254	3553		126-49-8
cpd:C00255	3554	CHEMBL1534	83-88-5
cpd:C00256	3555	CHEMBL358850	10326-41-7
cpd:C00257	3556	CHEMBL464345	526-95-4
cpd:C00258	3557		473-81-4
cpd:C00259	3558	CHEMBL1357418 CHEMBL505348	147-81-9
cpd:C00261	3559	CHEMBL15972	100-52-7
cpd:C00262	3560	CHEMBL1427	68-94-0
cpd:C00263	3561	CHEMBL11722	672-15-1
cpd:C00264	3562		
cpd:C00265	3563	CHEMBL406270	3483-12-3
cpd:C00266	3564	CHEMBL3884509	141-46-8
cpd:C00267	3565	CHEMBL1222250 CHEMBL423707 CHEMBL98182	492-62-6
cpd:C00268	3566		
cpd:C00269	3567		
cpd:C00270	3568	CHEMBL1234621 CHEMBL165084 CHEMBL4280954	131-48-6
cpd:C00272	3570	CHEMBL1201774	17528-72-2
cpd:C00273	3571		
cpd:C00275	3572	CHEMBL402001 CHEMBL4296692	
cpd:C00279	3574	CHEMBL1232448	585-18-2
cpd:C00280	3575	CHEMBL2140059 CHEMBL274826	63-05-8
cpd:C00282	3577		1333-74-0
cpd:C00283	3578	CHEMBL1200739	7783-06-4
cpd:C00284	3579	CHEMBL858	60-00-4
cpd:C00286	3581	CHEMBL477486	2564-35-4
cpd:C00288	3583		71-52-3
cpd:C00290	3584		9001-31-4
cpd:C00291	3585		7440-02-0
cpd:C00292	3586	CHEMBL538	62-53-3
cpd:C00294	3588	CHEMBL1556	58-63-9
cpd:C00295	3589	CHEMBL1235017	65-86-1
cpd:C00296	3590	CHEMBL465398	77-95-2
cpd:C00297	3591		
cpd:C00298	3592		9002-07-7
cpd:C00299	3593	CHEMBL100259	58-96-8
cpd:C00300	3594	CHEMBL283800	57-00-1
cpd:C00301	3595	CHEMBL1161865 CHEMBL2360089	
cpd:C00302	3596		617-65-2
cpd:C00303	3597		6899-04-3
cpd:C00304	3598		8063-07-8
cpd:C00305	3599		22537-22-0
cpd:C00306	3600	CHEMBL406291	58-82-2
cpd:C00307	3601	CHEMBL1231700 CHEMBL1618340	987-78-0
cpd:C00308	3602	CHEMBL443732	543-38-4
cpd:C00309	3603	CHEMBL1341376	488-84-6
cpd:C00310	3604		551-84-8
cpd:C00311	3605	CHEMBL539669	320-77-4
cpd:C00312	3606		527-50-4
cpd:C00313	3607		
cpd:C00314	3608	CHEMBL1364	65-23-6
cpd:C00315	3609	CHEMBL19612	124-20-9
cpd:C00317	3611		9037-22-3
cpd:C00318	3612	CHEMBL1149 CHEMBL1229656	541-15-1
cpd:C00319	3613	CHEMBL67166	123-78-4
cpd:C00320	3614		
cpd:C00322	3616		3184-35-8
cpd:C00323	3617		53034-79-0
cpd:C00324	3618		13408-62-3
cpd:C00325	3619	CHEMBL1229250	
cpd:C00326	3620		
cpd:C00327	3621	CHEMBL444814	372-75-8
cpd:C00328	3622	CHEMBL498416	2922-83-0
cpd:C00329	3623	CHEMBL234432 CHEMBL493287 CHEMBL606759	3416-24-8
cpd:C00330	3624	CHEMBL68908	961-07-9
cpd:C00331	3625	CHEMBL485012	392-12-1
cpd:C00332	3626		1420-36-6
cpd:C00333	3627		685-73-4
cpd:C00334	3628	CHEMBL96	56-12-2
cpd:C00337	3630		5988-19-2
cpd:C00338	3631		
cpd:C00339	3632		
cpd:C00340	3633		
cpd:C00341	3634	CHEMBL41342	
cpd:C00342	3635		52500-60-4
cpd:C00343	3636		
cpd:C00344	3637		
cpd:C00345	3638	CHEMBL1230513	
cpd:C00346	3639	CHEMBL146972	1071-23-4
cpd:C00347	3640		
cpd:C00348	3641		
cpd:C00349	3642		
cpd:C00350	3643		39382-08-6
cpd:C00351	3644		
cpd:C00352	3645	CHEMBL2448885 CHEMBL3426569	3616-42-0
cpd:C00353	3646	CHEMBL1229266	6699-20-3
cpd:C00354	3647	CHEMBL1089962 CHEMBL2111113 CHEMBL97893	488-69-7
cpd:C00355	3648	CHEMBL1009	59-92-7
cpd:C00356	3649	CHEMBL1794644	1553-55-5
cpd:C00357	3650		
cpd:C00360	3651	CHEMBL1206239	653-63-4
cpd:C00361	3652	CHEMBL1232205	
cpd:C00362	3653	CHEMBL477487	902-04-5
cpd:C00363	3654	CHEMBL259724	491-97-4
cpd:C00364	3655	CHEMBL394429	365-07-1
cpd:C00365	3656	CHEMBL211312	964-26-1
cpd:C00366	3657	CHEMBL792	69-93-2
cpd:C00367	3658		9000-71-9
cpd:C00369	3659		9005-25-8
cpd:C00370	3660		
cpd:C00371	3661	CHEMBL525239	1637-39-4
cpd:C00372	3662		9004-54-0
cpd:C00373	3663		9007-58-3
cpd:C00374	3664		9005-49-6
cpd:C00375	3665		
cpd:C00376	3666	CHEMBL81379	116-31-4
cpd:C00377	3667		
cpd:C00378	3668	CHEMBL1547	
cpd:C00379	3669	CHEMBL1865120 CHEMBL96783	87-99-0
cpd:C00380	3670	CHEMBL15913	71-30-7
cpd:C00381	3671		
cpd:C00383	3673	CHEMBL7942	141-82-2
cpd:C00384	3674		1404-04-2
cpd:C00385	3675	CHEMBL1424	69-89-6
cpd:C00386	3676	CHEMBL242948	305-84-0
cpd:C00387	3677	CHEMBL375655	118-00-3
cpd:C00388	3678	CHEMBL90	51-45-6
cpd:C00389	3679	CHEMBL50	117-39-5
cpd:C00390	3680		56275-39-9
cpd:C00391	3681		
cpd:C00392	3682	CHEMBL689	69-65-8
cpd:C00393	3683		9001-32-5
cpd:C00394	3684	CHEMBL228228	
cpd:C00395	3685		
cpd:C00396	3686	CHEMBL15562	
cpd:C00397	3687	CHEMBL1747	32986-56-4
cpd:C00398	3688	CHEMBL6640	61-54-1
cpd:C00399	3689		1339-63-5
cpd:C00400	3690	CHEMBL470670	2216-51-5
cpd:C00401	3691		
cpd:C00402	3692	CHEMBL29757	1783-96-6
cpd:C00403	3693		
cpd:C00404	3694		
cpd:C00405	3695		
cpd:C00406	3696		
cpd:C00407	3697	CHEMBL1233584 CHEMBL1869615	73-32-5
cpd:C00408	3698	CHEMBL322883	3105-95-1
cpd:C00409	3699		74-93-1
cpd:C00410	3700	CHEMBL103	57-83-0
cpd:C00411	3701		54429-80-0
cpd:C00412	3702		362-66-3
cpd:C00413	3703	CHEMBL372795	57-92-1
cpd:C00414	3704	CHEMBL18850	108-94-1
cpd:C00415	3705	CHEMBL46294	4033-27-6
cpd:C00416	3706		
cpd:C00417	3707	CHEMBL347285	585-84-2
cpd:C00418	3708	CHEMBL1794734	17817-88-8
cpd:C00419	3709		
cpd:C00420	3710		
cpd:C00422	3712		
cpd:C00423	3713	CHEMBL27246	140-10-3
cpd:C00424	3714		3913-64-2
cpd:C00426	3716		24967-94-0
cpd:C00427	3717	CHEMBL1743209 CHEMBL2074582	42935-17-1
cpd:C00429	3718		504-07-4
cpd:C00430	3719	CHEMBL601	106-60-5
cpd:C00431	3720	CHEMBL284116	660-88-8
cpd:C00433	3722		
cpd:C00434	3723		
cpd:C00435	3724		
cpd:C00436	3725		6851-51-0
cpd:C00437	3726		6205-08-9
cpd:C00438	3727		
cpd:C00439	3728		
cpd:C00440	3729	CHEMBL1221561 CHEMBL1231574	134-35-0
cpd:C00441	3730	CHEMBL404100	
cpd:C00444	3732		
cpd:C00445	3733		
cpd:C00446	3734	CHEMBL1159526	2255-14-3
cpd:C00447	3735		815-91-8
cpd:C00448	3736	CHEMBL69330	372-97-4
cpd:C00449	3737		997-68-2
cpd:C00450	3738		
cpd:C00451	3739	CHEMBL390356	6061-97-8
cpd:C00454	3740		
cpd:C00455	3741	CHEMBL610238	1094-61-7
cpd:C00458	3742	CHEMBL560403	2056-98-6
cpd:C00459	3743	CHEMBL363559	
cpd:C00460	3744	CHEMBL374361	
cpd:C00461	3745		1398-61-4
cpd:C00462	3746		
cpd:C00463	3747	CHEMBL15844	120-72-9
cpd:C00464	3748		52002-03-6
cpd:C00466	3750	CHEMBL3561873	513-86-0
cpd:C00468	3751	CHEMBL1405	53-16-7
cpd:C00469	3752	CHEMBL545	64-17-5
cpd:C00470	3753		
cpd:C00472	3755	CHEMBL8320	106-51-4
cpd:C00473	3756	CHEMBL986	68-26-8 11103-57-4
cpd:C00474	3757	CHEMBL1865120 CHEMBL3137744	488-81-3
cpd:C00475	3758	CHEMBL2028065 CHEMBL4237960 CHEMBL95606	65-46-3
cpd:C00476	3759	CHEMBL1159661 CHEMBL1222248	1114-34-7
cpd:C00477	3760	CHEMBL1456897 CHEMBL549300	3604-87-3
cpd:C00478	3761		1402-10-4
cpd:C00479	3762	CHEMBL275626	123-38-6
cpd:C00480	3763		9057-02-7
cpd:C00481	3764	CHEMBL15967	288-13-1
cpd:C00482	3765	CHEMBL109341	530-59-6 7362-37-0
cpd:C00483	3766	CHEMBL11608	51-67-2
cpd:C00484	3767		
cpd:C00486	3769	CHEMBL501680	635-65-4
cpd:C00487	3770	CHEMBL1620698 CHEMBL172513	406-76-8
cpd:C00488	3771	CHEMBL266160	75-12-7
cpd:C00489	3772	CHEMBL1162495	110-94-1
cpd:C00490	3773	CHEMBL359159	97-65-4
cpd:C00491	3774	CHEMBL590540	56-89-3
cpd:C00492	3775	CHEMBL175500 CHEMBL603717	512-69-6
cpd:C00493	3776	CHEMBL290345 CHEMBL3348832	138-59-0
cpd:C00494	3777	CHEMBL221886	32385-11-8
cpd:C00495	3778	CHEMBL61133	519-57-3
cpd:C00496	3779		60267-61-0
cpd:C00497	3780	CHEMBL225986	636-61-3
cpd:C00498	3781	CHEMBL227552	
cpd:C00499	3782		99-16-1
cpd:C00500	3783	CHEMBL455477	114-25-0
cpd:C00501	3784	CHEMBL227515	
cpd:C00502	3785		526-91-0
cpd:C00503	3786	CHEMBL349605	149-32-6
cpd:C00504	3787	CHEMBL1622	59-30-3
cpd:C00505	3788		1403-66-3
cpd:C00506	3789		13100-82-8
cpd:C00507	3790		3615-41-6 73-34-7
cpd:C00508	3791		2042-27-5
cpd:C00509	3792	CHEMBL9352	480-41-1
cpd:C00510	3793		
cpd:C00511	3794	CHEMBL1213529	79-10-7
cpd:C00512	3795		6756-74-7
cpd:C00513	3796		
cpd:C00514	3797		642-99-9
cpd:C00515	3798	CHEMBL103686	348-66-3
cpd:C00516	3799		
cpd:C00517	3800	CHEMBL1235338	629-80-1
cpd:C00518	3801		9004-61-9
cpd:C00519	3802	CHEMBL1256480	300-84-5
cpd:C00521	3804	CHEMBL236688	5989-54-8
cpd:C00522	3805	CHEMBL1794671	470-29-1
cpd:C00523	3806	CHEMBL87285	53-41-8
cpd:C00524	3807		9007-43-6
cpd:C00525	3808	CHEMBL292303	153-94-6
cpd:C00526	3809	CHEMBL353955	951-78-0
cpd:C00527	3810		3131-84-8
cpd:C00528	3811		
cpd:C00530	3812	CHEMBL537	123-31-9
cpd:C00531	3813		
cpd:C00532	3814		7643-75-6
cpd:C00533	3815	CHEMBL1200689	10102-43-9
cpd:C00534	3816	CHEMBL593019	85-87-0
cpd:C00535	3817	CHEMBL386630 CHEMBL67934	58-22-0
cpd:C00536	3818	CHEMBL1230191	
cpd:C00538	3819		
cpd:C00539	3820	CHEMBL541	
cpd:C00540	3821		
cpd:C00541	3822		14463-33-3
cpd:C00542	3823	CHEMBL209241	535-34-2
cpd:C00543	3824	CHEMBL120433	124-40-3
cpd:C00544	3825		451-13-8
cpd:C00545	3826		608-53-7
cpd:C00546	3827	CHEMBL170721	78-98-8
cpd:C00547	3828	CHEMBL1437	51-41-2
cpd:C00548	3829	CHEMBL289559	122-79-2
cpd:C00549	3830		
cpd:C00550	3831		
cpd:C00551	3832		9041-22-9
cpd:C00552	3833	CHEMBL225983	147-73-9
cpd:C00553	3834	CHEMBL1907991	2216-52-6
cpd:C00555	3835	CHEMBL2261442	
cpd:C00556	3836	CHEMBL720	100-51-6
cpd:C00557	3837	CHEMBL18620	120-92-3
cpd:C00558	3838		
cpd:C00559	3839	CHEMBL449329	958-09-8
cpd:C00561	3841		
cpd:C00562	3842		
cpd:C00563	3843	CHEMBL1318812 CHEMBL418012 CHEMBL479579	36357-77-4
cpd:C00565	3844	CHEMBL439723	75-50-3
cpd:C00566	3845		
cpd:C00568	3847	CHEMBL542	150-13-0
cpd:C00569	3848		9036-66-2
cpd:C00570	3849		3036-18-8
cpd:C00571	3850	CHEMBL1794762	108-91-8
cpd:C00573	3852		
cpd:C00574	3853		
cpd:C00575	3854	CHEMBL316966	60-92-4
cpd:C00576	3855	CHEMBL1231491	7418-61-3
cpd:C00577	3856		453-17-8 367-47-5
cpd:C00579	3858		3884-47-7
cpd:C00580	3859	CHEMBL15580	75-18-3
cpd:C00581	3860	CHEMBL281593	352-97-6
cpd:C00582	3861	CHEMBL3526286	
cpd:C00583	3862	CHEMBL286398	57-55-6
cpd:C00584	3863	CHEMBL548	363-24-6
cpd:C00585	3864		
cpd:C00586	3865	CHEMBL1377788 CHEMBL2208394	154-17-6
cpd:C00587	3866	CHEMBL65369	99-06-9
cpd:C00588	3867	CHEMBL1235161 CHEMBL3350840	107-73-3
cpd:C00590	3869	CHEMBL501870	32811-40-8 458-35-5
cpd:C00591	3870		
cpd:C00593	3872		32797-12-9
cpd:C00596	3873		159694-16-3
cpd:C00597	3874	CHEMBL87788	
cpd:C00599	3875	CHEMBL63243	601-57-0
cpd:C00601	3876	CHEMBL1233464	122-78-1
cpd:C00602	3877		
cpd:C00603	3878		
cpd:C00604	3879	CHEMBL415879	66-71-7
cpd:C00605	3880		
cpd:C00606	3881	CHEMBL1160508	1115-65-7
cpd:C00607	3882		9007-28-7
cpd:C00608	3883		
cpd:C00609	3884		
cpd:C00611	3885	CHEMBL457432	32181-59-2
cpd:C00612	3886	CHEMBL176800	
cpd:C00613	3887		
cpd:C00614	3888		
cpd:C00615	3889		
cpd:C00616	3890	CHEMBL1207957	
cpd:C00617	3891		
cpd:C00618	3892		
cpd:C00619	3893		
cpd:C00620	3894	CHEMBL603367	
cpd:C00621	3895		
cpd:C00623	3896		5746-57-6
cpd:C00624	3897	CHEMBL1234751	1188-37-0
cpd:C00625	3898		
cpd:C00627	3900		447-05-2
cpd:C00628	3901	CHEMBL1461	490-79-9
cpd:C00630	3903		
cpd:C00631	3904		
cpd:C00632	3905	CHEMBL445304	548-93-6
cpd:C00633	3906	CHEMBL14193	123-08-0
cpd:C00634	3907		24967-93-9
cpd:C00635	3908		25322-46-7
cpd:C00636	3909	CHEMBL291890	
cpd:C00637	3910		2591-98-2
cpd:C00638	3911		
cpd:C00639	3912	CHEMBL1903583 CHEMBL815	551-11-1
cpd:C00640	3913		
cpd:C00641	3914		
cpd:C00642	3915	CHEMBL1772	156-38-7
cpd:C00643	3916	CHEMBL350221	4350-09-8
cpd:C00644	3917		15806-48-1
cpd:C00645	3918	CHEMBL1231391 CHEMBL509437	3615-17-6
cpd:C00647	3919	CHEMBL1235353	529-96-4
cpd:C00650	3921		
cpd:C00651	3922	CHEMBL38499	
cpd:C00652	3923		2782-09-4
cpd:C00653	3924		
cpd:C00655	3925	CHEMBL1206243	523-98-8
cpd:C00658	3927		
cpd:C00659	3928		
cpd:C00661	3930		591-59-3
cpd:C00662	3931		
cpd:C00663	3932	CHEMBL67622	
cpd:C00664	3933		
cpd:C00665	3934		
cpd:C00666	3935		
cpd:C00667	3936		
cpd:C00668	3937	CHEMBL4283156	
cpd:C00669	3938	CHEMBL460831	636-58-8
cpd:C00670	3939	CHEMBL1567463	28319-77-9
cpd:C00671	3940		
cpd:C00672	3941		17210-42-3
cpd:C00673	3942		
cpd:C00674	3943	CHEMBL1230438 CHEMBL3137947	846-46-8
cpd:C00675	3944		
cpd:C00676	3945		
cpd:C00677	3946		
cpd:C00679	3948		
cpd:C00680	3949	CHEMBL415306	
cpd:C00681	3950		
cpd:C00682	3951		3270-98-2
cpd:C00683	3952		
cpd:C00684	3953		
cpd:C00685	3954		
cpd:C00686	3955		
cpd:C00688	3957		
cpd:C00689	3958		4484-88-2
cpd:C00691	3959		488-64-2
cpd:C00692	3960		
cpd:C00693	3961		
cpd:C00694	3962		
