	KEGG	CAS	PUBCHEM	CHEBI	CHEMBL	SMILES
0	cpd:C03523		6331.0			B
1	cpd:C01636		4785.0	29171		B(C(C(C)C)NC(=O)C1=CC=CN1C(=O)C(C(C2=CC=CC=C2)C3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4)(O)O
2	cpd:C01009		4254.0	27988		B(C(CCCOC)NC(=O)C1=CC=CN1C(=O)C(C(C2=CC=CC=C2)C3=CC=CC=C3)NC(N4CCOCC4)O)(O)O
3	cpd:C02533	15764-81-5	5540.0	4372	CHEMBL461278	B(C(CCCSC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=CC=C2)NC(=O)CC)(O)O
4	cpd:C12933	26657-13-6	583322.0	32105		B(C1=C(C=CC=C1C)C)(O)O
5	cpd:C04794		7357.0	16126		B(CC)(CC)CC
6	cpd:C12369	117241-62-0	582759.0	32200		B(CC)(CC)N1C(=O)C2=CC=CC=C2C1=O
7	cpd:C12072		14224.0	29586		B(CCC)(CCC)CCC
8	cpd:C03564	2139-03-9	6356.0	17425 36761	CHEMBL18591	B(F)(F)F
9	cpd:C05693		8000.0	8735		B(F)(F)F.CCOCC
10	cpd:C07417	39809-25-1	9621.0	7956	CHEMBL1540	B(F)(F)F.COC
11	cpd:C05232		7628.0	15451		B(O)(O)O
12	cpd:C05231		7627.0	15512		B(O)(O)[O-].C1=CC=C(C=C1)[Hg+]
13	cpd:C05113	101-60-0	7538.0	8337		B(OC(C)CN)(OC(C)CN)OC(C)CN
14	cpd:C06227		8470.0	28163		B(OC)(OC)OC
15	cpd:C12025		14182.0	29468		B(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3
16	cpd:C06789	127-18-4	9009.0	17300	CHEMBL114062	B(OCC)(OCC)OCC
17	cpd:C10529	18979-00-5	12712.0	9183		B(OCCCC)(OCCCC)OCCCC
18	cpd:C09948	81827-55-6	12134.0	6144		B(OCCCCC)(OCCCCC)OCCCCC
19	cpd:C07031		9243.0	28682		B(OCCN)(OCCN)OCCN
20	cpd:C03522		6330.0	7308	CHEMBL3098156	B.CNC
21	cpd:C12444		582834.0	32337		B1(C2CCCC1CCC2)OC(CCCC)CSC
22	cpd:C11628	2498-50-2	13793.0	10618	CHEMBL1562872	B1(N(B(N(B(N1Cl)C2=CC=CC=C2)Cl)C3=CC=CC=C3)Cl)C4=CC=CC=C4
23	cpd:C12893	546-93-0	583282.0	31793	CHEMBL1200736	B1(N(N=NN1C)C)Cl
24	cpd:C03517		6326.0			C#C
25	cpd:C12616	152-47-6	583006.0	32162	CHEMBL1525826	C#CC#CCCC=CC(=O)NCCC1=CC=CC=C1
26	cpd:C11893	1898-13-1	14055.0	29550		C#CC#N
27	cpd:C07908	128794-94-5	10110.0	8764	CHEMBL1456	C#CC(=O)O
28	cpd:C01558		4716.0	22868 3098		C#CC(C=CCCCCCCCC#CC=CCCCCCCCCCCCC(C#CC#CCO)O)O
29	cpd:C01559	12772-35-9	4717.0	65109		C#CC(C=CCCCCCCCC#CC=CCCCCCCCCCCCCCC(C#CC#CCO)O)O
30	cpd:C02546		5551.0	5500		C#CC(C=CCCCCCCCCCC=CC#CCCCCCCC(C#CC#CC#CCO)O)O
31	cpd:C02548	496-42-4	5552.0	28437		C#CC(C=CCCCCCCCCCC=CC#CCCCCCCCCC(C#CC#CC#CCO)O)O
32	cpd:C02549	62682-11-5	5553.0	17529		C#CC(C=CCCCCCCCCCC=CC#CCCCCCCCCCC#CC#CC#CCO)O
33	cpd:C02543		5548.0	27894		C#CC(C=CCCCCCCCCCCC=CCCCCCCCCC(C#CC#CC#CCO)O)O
34	cpd:C01557	484-20-8	4715.0	18293	CHEMBL24171	C#CC(C=CCCCCCCCCCCC=CCCCCCCCCCC(C#CC#CCO)O)O
35	cpd:C02554		5555.0	29164		C#CC(C=CCCCCCCCCCCCCC=CCCCCCCCCCC=CC#CC(=O)O)O
36	cpd:C02545		5550.0	18085		C#CC(C=CCCCCCCCCCCCCC=CCCCCCCCCCCCCCCC(C#CC#CC#CCO)O)O
37	cpd:C02684		5653.0	17714		C#CC(C=CCCCCCCCCCCCCCCCCC=CCCCCCCCCCCCCCCCC=CC(C#C)O)O
38	cpd:C00152	70-47-3	3452.0	17196	CHEMBL58832	C#CC(CCC(=O)O)N
39	cpd:C03771	3715-10-4	6525.0	18253 28116		C#CC1(CCCCC1)O
40	cpd:C09039	2744-47-0	11231.0	2886		C#CC1(CCCCC1)OC(=O)NC(=O)N
41	cpd:C08628	545-47-1	10821.0	6570	CHEMBL289191	C#CC1=CC=CC=C1
42	cpd:C02553		5554.0	29162		C#CC=CC(CCCCCCCCCC=CCCCCCCCCCCCC(C#CC#CC#CCO)O)O
43	cpd:C10036	480-15-9	12222.0	75107	CHEMBL503168	C#CC=O
44	cpd:C05482	516-38-1	7842.0	3898	CHEMBL1908046	C#CCBr
45	cpd:C07458	63-74-1	9661.0	45373	CHEMBL21	C#CCC1(CCCCC1)OC(=O)N
46	cpd:C07652	84371-65-3	9854.0	50692	CHEMBL1276308 CHEMBL1987697	C#CCCCCCCF
47	cpd:C07408	438-60-8	9612.0	8597	CHEMBL668	C#CCCCCCF
48	cpd:C07559	461-78-9	9762.0	3646	CHEMBL1201269	C#CCCCCF
49	cpd:C11392	6153-17-9	13566.0	129		C#CCCO
50	cpd:C10035	151655-69-5	12221.0	4327		C#CCCl
51	cpd:C12387		582777.0	32048		C#CCN(C1=CC=CC=C1)C(=O)NC2=CC=CC=C2
52	cpd:C14562		17395562.0	34243		C#CCN1CCN(CC1)CC(=O)NC2=CC(=CC=C2)F
53	cpd:C16168		47205478.0	63540		C#CCNC(=O)C1=CC(=CC=C1)N2CCNC2=O
54	cpd:C16171		47205481.0	63548		C#CCNC(=O)CN1CCS(=O)(=O)CC1
55	cpd:C05512	890-38-0	7859.0	28997	CHEMBL1229971	C#CCO
56	cpd:C12647		583037.0	32115		C#CCOC1=CC=CC=C1C=O
57	cpd:C11906	7784-46-5	14068.0	29678	CHEMBL1909078	C(#CC#N)C#N
58	cpd:C08778	76-78-8	10971.0	8692	CHEMBL517016	C(#CC(=O)N)C(=O)N
59	cpd:C08278	505-48-6	10476.0	9300	CHEMBL1162491	C(#N)Br
60	cpd:C10452	140-67-0	12635.0	4867	CHEMBL470671	C(#N)C(=C(C#N)C#N)C#N
61	cpd:C08818	9000-07-1	11011.0	3435		C(#N)C(Cl)(Cl)Cl
62	cpd:C04081	4463-22-3	6775.0	16434	CHEMBL279548	C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N
63	cpd:C08279	80-59-1	10477.0	9592	CHEMBL52416	C(#N)Cl
64	cpd:C08280	502-37-4	10478.0			C(#N)I
65	cpd:C07662	110871-86-8	9864.0	9212	CHEMBL850	C(#N)N
66	cpd:C08244	17074-02-1	10443.0	73992	CHEMBL1651520	C(#N)NC#N
67	cpd:C09395	38456-39-2	11586.0	4443		C(#N)[Hg-2](C#N)(C#N)C#N
68	cpd:C09394	17946-87-1	11585.0	4441	CHEMBL517040	C(#N)[Hg-2](C#N)(C#N)C#N.[K+].[K+]
69	cpd:C09400	5140-50-1	11591.0	3956	CHEMBL455633	C(#N)[Hg]C#N
70	cpd:C07111	100-41-4	9322.0	16101	CHEMBL371561	C(#N)[S-]
71	cpd:C09424	41431-22-5	11615.0	4839		C(#N)[S-].C(#N)[S-].[Hg+2]
72	cpd:C09425	20071-52-7	11616.0	4922	CHEMBL521767	C(#N)[S-].C(#N)[S-].[Pb+2]
73	cpd:C19091	2693-61-0	124489763.0	82213		C(/C=C\C(=O)CCl)N
74	cpd:C09521	34367-14-1	11712.0	7783		C(=C(Br)Br)Br
75	cpd:C09856	36101-39-0	12043.0	3430		C(=C(C(=O)O)Cl)C(=O)O
76	cpd:C07127	63590-64-7	9337.0	9445	CHEMBL611	C(=C(C(F)(F)F)Cl)(C(F)(F)F)Cl
77	cpd:C07613	76932-56-4	9815.0	7445		C(=C(C(F)(F)F)Cl)C(F)(F)F
78	cpd:C07475	90-69-7	9678.0	48723	CHEMBL122270	C(=C(C(F)(F)F)F)(C(F)(F)F)F
79	cpd:C10780	2122-29-4	12963.0	8813		C(=C(Cl)Br)(F)F
80	cpd:C04232		6901.0	17955		C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl
81	cpd:C10970	73943-10-9	13153.0	8986	CHEMBL123349	C(=C(Cl)Cl)(C(=O)Cl)Cl
82	cpd:C10497	501-13-3	12680.0	9299		C(=C(Cl)Cl)(C(C(=O)Cl)(Cl)Cl)Cl
83	cpd:C03834		6575.0	1549		C(=C(Cl)Cl)Cl
84	cpd:C09539	25873-31-8	11730.0	8770	CHEMBL1998462	C(=C(F)Br)(F)F
85	cpd:C09545	481-07-2	11736.0	28356		C(=C(F)Cl)(F)Cl
86	cpd:C03858		6594.0	27423		C(=C(F)Cl)(F)F
87	cpd:C07459	120-97-8	9662.0	101085	CHEMBL17	C(=C(F)Cl)F
88	cpd:C12452	3423-27-6	582842.0		CHEMBL193341	C(=C(F)F)(C(C(F)(Cl)Cl)(F)F)F
89	cpd:C03865		6600.0	16036		C(=C(F)F)(C(F)(F)Cl)F
90	cpd:C06030		8302.0	6885		C(=C(F)F)(C(F)(F)F)F
91	cpd:C06029		8301.0	28456		C(=C(F)F)(F)F
92	cpd:C07461	58-94-6	9664.0	3640	CHEMBL842	C(=C(F)F)Cl
93	cpd:C08372	3658-80-8	10568.0	4614		C(=C(I)I)(I)I
94	cpd:C08704	127-29-7	10897.0	8601	CHEMBL509646	C(=CBr)Br
95	cpd:C10811	469-59-0	12994.0	6088	CHEMBL1717145 CHEMBL186779	C(=CC#N)C#N
96	cpd:C10138	1604-01-9	12324.0	10561		C(=CC(=O)Cl)C(=O)Cl
97	cpd:C07826	77-02-1	10028.0	2791	CHEMBL7863	C(=CC(=O)O)C#CC#CC#N
98	cpd:C08798	5939-57-1	10991.0	3945	CHEMBL488312	C(=CC(=O)O)C#CC#CC(=O)N
99	cpd:C08995	67924-64-5	11187.0	2925		C(=CC(=O)O)C(=O)N
100	cpd:C06603		8829.0	18301		C(=CC(=O)[O-])C(=O)[O-].[Fe+2]
101	cpd:C07531	721-50-6	9734.0	8404	CHEMBL1194	C(=CC(=O)[O-])C(=O)[O-].[Na+].[Na+]
102	cpd:C08707	509-24-0	10900.0	9196	CHEMBL1895895	C(=CCl)Cl
103	cpd:C09346	20505-32-2	11537.0	2933		C(=CI)I
104	cpd:C08998	20675-51-8	11190.0	3357	CHEMBL422704	C(=CN=O)NO
105	cpd:C07317	57-96-5	9525.0	9342	CHEMBL832	C(=C[As](=O)(Cl)Cl)Cl
106	cpd:C08730	120-05-8	10923.0	9355	CHEMBL490355	C(=C[As](Cl)Cl)Cl
107	cpd:C00220	61-73-4	3520.0	6872	CHEMBL405110	C(=N)(N)N
108	cpd:C09459	1805-85-2	11650.0	5629	CHEMBL1724728	C(=N)(N)N.C(=N)(N)N.C(=O)(O)O
109	cpd:C02791	95-76-1	5742.0	16767	CHEMBL1319813	C(=N)(N)N.Cl
110	cpd:C08283	1195-94-4	10481.0	5757	CHEMBL1184551	C(=N)(N)N.[N+](=O)(O)[O-]
111	cpd:C10228	76236-89-0	12414.0	5271		C(=N)(N)[SeH]
112	cpd:C03034		5939.0	17262		C(=NC(=N)N)(N)N
113	cpd:C06633		8859.0	28331		C(=NC(=O)N)(N)N
114	cpd:C09364	485-49-4	11555.0	3092	CHEMBL417990	C(=NC(=O)N)(N)N.C(=NC(=O)N)(N)N.OS(=O)(=O)O
115	cpd:C08215	8028-36-2	10414.0	9584		C(=NCl)(N)N=NC(=NCl)N
116	cpd:C10477	3843-74-1	12660.0	6856	CHEMBL17001	C(=NN=O)(N)N
117	cpd:C10041	528-48-3	12227.0	42567	CHEMBL31574	C(=NO)N
118	cpd:C08982	78693-94-4	11174.0	9210		C(=N[N+](=O)[O-])(N)N
119	cpd:C07465	126222-34-2	9668.0	8803	CHEMBL31601	C(=O)(C(=O)F)F
120	cpd:C07911	14838-15-4	10113.0	8104	CHEMBL136560 CHEMBL1574804	C(=O)(C(=O)N)N
121	cpd:C11661		13826.0	2261		C(=O)(C(=O)NN)NN
122	cpd:C07930	886-74-8	10132.0	3643	CHEMBL607710	C(=O)(C(=O)O)C(=O)O
123	cpd:C02167		5242.0	16727 30859		C(=O)(C(=O)[O-])N.[Na+]
124	cpd:C06532	466-81-9	8762.0	27795	CHEMBL3318888	C(=O)(C(=O)[O-])[O-].[Ce].[Ce]
125	cpd:C10964	98730-04-2	13147.0	3016	CHEMBL2269059	C(=O)(C(=O)[O-])[O-].[Cr+2]
126	cpd:C10965	25057-89-0	13148.0	3018	CHEMBL1567045	C(=O)(C(=O)[O-])[O-].[Cu+2]
127	cpd:C08393	630-05-7	10589.0	9751		C(=O)(C(=O)[O-])[O-].[Fe+2]
128	cpd:C09222	64838-03-5	11413.0	6740		C(=O)(C(=O)[O-])[O-].[K+].[K+]
129	cpd:C12058	17397-89-6	14213.0	171741	CHEMBL45627	C(=O)(C(=O)[O-])[O-].[NH4+].[NH4+]
130	cpd:C10966	1672-76-0	13149.0	3648	CHEMBL3220941	C(=O)(C(=O)[O-])[O-].[Sn+2]
131	cpd:C08848	3981-16-6	11041.0	28373	CHEMBL2419855	C(=O)(C(=O)[O-])[O-].[Zn+2]
132	cpd:C03632		6415.0			C(=O)(C(Br)(Br)Br)O
133	cpd:C03631		6414.0	28633		C(=O)(C(Br)(Br)Br)[O-]
134	cpd:C03661		6439.0	16885		C(=O)(C(C(C(=O)O)(O)O)(O)O)O
135	cpd:C07348		9555.0	15502		C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
136	cpd:C07347		9554.0	15542		C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
137	cpd:C10443	458-37-7	12626.0	3962	CHEMBL116438	C(=O)(C(C(C(F)(F)F)(F)F)(F)F)N
138	cpd:C07574	1934-21-0	9777.0	9405		C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
139	cpd:C06031		8303.0	27736		C(=O)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
140	cpd:C03637		6420.0	8573		C(=O)(C(Cl)(Cl)Cl)Cl
141	cpd:C07425	66104-22-1	9629.0	63617	CHEMBL1180810 CHEMBL531	C(=O)(C(Cl)(Cl)Cl)F
142	cpd:C03638		6421.0			C(=O)(C(Cl)(Cl)Cl)O
143	cpd:C03866		6601.0	17707		C(=O)(C(F)(F)F)C(F)(F)Cl
144	cpd:C10512	42485-00-7	12695.0	7886		C(=O)(C(F)(F)F)C(F)(F)F
145	cpd:C03640		6422.0	52897	CHEMBL1481114	C(=O)(C(F)(F)F)O
146	cpd:C07643	40277-05-2	9845.0	1864	CHEMBL731	C(=O)(C(F)(F)F)OC(=O)C(F)(F)F
147	cpd:C03579	7044-72-6	6371.0	28861		C(=O)(Cl)Cl
148	cpd:C07418	52-67-5	9622.0	7959	CHEMBL1430	C(=O)(F)Cl
149	cpd:C05588		7913.0	6270	CHEMBL1741533	C(=O)(N)NC(=O)N
150	cpd:C02116	79-46-9	5196.0	16037	CHEMBL261886	C(=O)(N)NN
151	cpd:C09044	64894-58-2	11236.0	8731	CHEMBL465319	C(=O)(N)NN.Cl
152	cpd:C05744		8039.0	2393		C(=O)(N)NNC(=O)N
153	cpd:C00366	69-93-2	3657.0	17775	CHEMBL792	C(=O)(N)NO
154	cpd:C12051	67401-56-3	14206.0	29631		C(=O)(N)[O-].[NH4+].O
155	cpd:C10523	18642-23-4	12706.0	8616		C(=O)(NO)NO
156	cpd:C08282	29106-32-9	10480.0	27939 61391	CHEMBL2204421	C(=O)(O)O.N.N
157	cpd:C08598		10791.0	3439		C(=O)(O)[O-].C(=O)([O-])[O-].[Na+].[Na+].[Na+]
158	cpd:C11851		14013.0	29709		C(=O)(O)[O-].[NH4+]
159	cpd:C00114	62-49-7	3414.0	15354	CHEMBL920	C(=O)([O-])P(=O)([O-])[O-]
160	cpd:C08367	693-72-1	10563.0	28727		C(=O)([O-])[O-].[Ba+2]
161	cpd:C07910	50-35-1	10112.0	9513	CHEMBL468	C(=O)([O-])[O-].[Ca+2]
162	cpd:C08368	503-07-1	10564.0	27706 38300		C(=O)([O-])[O-].[Cd+2]
163	cpd:C08369	2179-57-9	10565.0	4488	CHEMBL366603	C(=O)([O-])[O-].[Co+2]
164	cpd:C08603	19891-74-8	10796.0	6602		C(=O)([O-])[O-].[Cs+].[Cs+]
165	cpd:C09056	643-57-2	11248.0	2671		C(=O)([O-])[O-].[Fe+2]
166	cpd:C09239	482-68-8	11430.0	9036		C(=O)([O-])[O-].[K+].[K+]
167	cpd:C08836	481-16-3	11029.0	8334		C(=O)([O-])[O-].[Mg+2]
168	cpd:C09535	55306-05-3	11726.0	8652		C(=O)([O-])[O-].[Mn+2]
169	cpd:C09536	28272-18-6	11727.0	8661	CHEMBL517337	C(=O)([O-])[O-].[Pb+2]
170	cpd:C09240	6882-99-1	11431.0	9104	CHEMBL2219680	C(=O)([O-])[O-].[Rb+].[Rb+]
171	cpd:C07837	7554-65-6	10039.0	5141	CHEMBL1308	C(=O)=S
172	cpd:C05976		8256.0			C(=O)C(Br)(Br)Br
173	cpd:C12432	39472-31-6	582822.0	31359	CHEMBL275147 CHEMBL474260	C(=O)C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F
174	cpd:C03623		6407.0	37041		C(=O)C(Cl)(Cl)Cl
175	cpd:C03836		6576.0	1722		C(=O)C(Cl)Cl
176	cpd:C05513		7860.0	50547		C(=O)C=O
177	cpd:C10043	525-82-6	12229.0	42491	CHEMBL275638	C(=O)NN
178	cpd:C10156	552-72-7	12342.0	6507	CHEMBL122676	C(=O)NNC=O
179	cpd:C08711	60062-45-5	10904.0	9238		C(=O)O.N
180	cpd:C08804	25383-26-0	10997.0	3951		C(=O)[O-].C(=O)[O-].[Ca+2]
181	cpd:C08805	25383-25-9	10998.0	3952		C(=O)[O-].C(=O)[O-].[Co+2]
182	cpd:C08806	60137-06-6	10999.0	3953		C(=O)[O-].C(=O)[O-].[Cu+2]
183	cpd:C09003	151731-50-9	11195.0	860		C(=O)[O-].C(=O)[O-].[Zn+2]
184	cpd:C07838		10040.0	28137		C(=S)(Cl)Cl
185	cpd:C03544		6348.0			C(=S)=S
186	cpd:C09013	98569-62-1	11205.0	6656	CHEMBL521361	C(Br)(Br)(Br)Br
187	cpd:C02557	1264-45-5	5558.0	16625		C(Br)(Br)Br
188	cpd:C09462	4370-85-8	11653.0	126	CHEMBL1408680 CHEMBL475536	C(Br)(Br)I
189	cpd:C08811	23044-80-6	11004.0	2528	CHEMBL3793486	C(C#CC#CC#CC(=O)N)O
190	cpd:C10999	101-14-4	13182.0	28124	CHEMBL82846	C(C#CCCl)Cl
191	cpd:C05771	78-96-6	8066.0	19030	CHEMBL326602	C(C#CCO)O
192	cpd:C09343	5140-35-2	11534.0	2906		C(C#N)Br
193	cpd:C05703	6486-05-1	8010.0	64685		C(C#N)C#N
194	cpd:C11174	148077-18-3	13356.0	62919		C(C#N)C(=C(C#N)C#N)N
195	cpd:C05572		7898.0	27467 30883		C(C#N)C(=O)N
196	cpd:C06594	120-82-1	8820.0	28222	CHEMBL296348	C(C#N)C(=O)NN
197	cpd:C07537	76-58-4	9740.0	4902	CHEMBL1712170	C(C#N)C(=O)O
198	cpd:C11363	297-83-6	13538.0	63836	CHEMBL574431	C(C#N)C(C(=O)O)N
199	cpd:C05503		7856.0	36489	CHEMBL2074591	C(C#N)Cl
200	cpd:C08708	19741-46-9	10901.0	9234		C(C#N)N
201	cpd:C05504	1852-50-2	7857.0	766	CHEMBL2074802	C(C#N)O
202	cpd:C04714		7286.0			C(C(=CCl)Cl)Cl
203	cpd:C10250	537-41-7	12436.0	3629	CHEMBL2227759	C(C(=O)C(Cl)Cl)(Cl)Cl
204	cpd:C11355		13530.0	18198 35181		C(C(=O)C(Cl)Cl)Cl
205	cpd:C08600	70815-32-6	10793.0	9138		C(C(=O)CCl)Cl
206	cpd:C03837	2747-05-9	6577.0	17763	CHEMBL12019	C(C(=O)Cl)Cl
207	cpd:C07460	121-30-2	9663.0	3602	CHEMBL266240	C(C(=O)Cl)F
208	cpd:C10511	482-53-1	12694.0	7797	CHEMBL238188	C(C(=O)N)(Cl)Cl
209	cpd:C05585		7911.0	28508	CHEMBL243186	C(C(=O)N)C(=O)N
210	cpd:C03843		6580.0	2128		C(C(=O)N)Cl
211	cpd:C10356	6887-34-9	12542.0	7804		C(C(=O)N)F
212	cpd:C00438		3727.0	15859		C(C(=O)N)I
213	cpd:C10778	2448-27-3	12961.0	7905	CHEMBL497938	C(C(=O)N)S
214	cpd:C08969	75303-44-5	11161.0	8254		C(C(=O)NCC(=O)NCC(=O)O)N
215	cpd:C08971	72933-74-5	11163.0	8484		C(C(=O)NCC(=O)O)N
216	cpd:C10996	1596-84-5	13179.0	4312	CHEMBL2164243	C(C(=O)NN)NC(=C[N+]#N)O
217	cpd:C10995	33089-61-1	13178.0	2665	CHEMBL1365675	C(C(=O)NN)NC(=C[N+]#N)[O-]
218	cpd:C01648		4797.0	29184		C(C(=O)NO)OP(=O)(O)O
219	cpd:C10247	60347-67-3	12433.0	2997	CHEMBL228126	C(C(=O)O)(Br)Br
220	cpd:C09560	25383-30-6	11751.0	9499		C(C(=O)O)(C(=O)O)Cl
221	cpd:C03861		6597.0	17036		C(C(=O)O)(Cl)Cl
222	cpd:C07586	49562-28-9	9788.0	5001	CHEMBL672	C(C(=O)O)(F)F
223	cpd:C08340	71933-54-5	10538.0	9033		C(C(=O)O)C(CO)(C(=O)O)C(=O)O
224	cpd:C02161	1916-59-2	5237.0	17293	CHEMBL146710	C(C(=O)O)F
225	cpd:C02165	71160-24-2	5240.0	15647	CHEMBL65061	C(C(=O)O)I
226	cpd:C10534	548-77-6	12717.0	9429	CHEMBL242740	C(C(=O)O)N(C=O)O
227	cpd:C06527	56-54-2	8758.0	28593	CHEMBL1294 CHEMBL1358565 CHEMBL21578	C(C(=O)O)N(CC(=O)O)CC(=O)O
228	cpd:C08354	131064-69-2	10551.0	28552	CHEMBL1341376	C(C(=O)O)N.C(C(=O)O)N.C(C(=O)O)N.OS(=O)(=O)O
229	cpd:C07818	25990-43-6	10020.0	6752	CHEMBL524004	C(C(=O)O)NC(=O)N
230	cpd:C06672	121-34-6	8897.0	16632 30816	CHEMBL120568	C(C(=O)O)NCC(=O)O
231	cpd:C00196	303-38-8	3496.0	18026 36654	CHEMBL1432	C(C(=O)O)NCP(=O)(O)O
232	cpd:C05793	34217-90-8	8088.0	29023		C(C(=O)O)OCC(=O)O
233	cpd:C08753	63306-30-9	10946.0	3192	CHEMBL504960	C(C(=O)OC(=O)CCl)Cl
234	cpd:C06362		8598.0	24690		C(C(=O)OC1=C(C(=O)OC1=O)OC(=O)CCl)Cl
235	cpd:C03395		6226.0	4986		C(C(=O)[O-])Br
236	cpd:C06867	62571-86-2	9084.0		CHEMBL1560 CHEMBL162360	C(C(=O)[O-])C(=O)[O-]
237	cpd:C06639	2642-82-2	8865.0	28410	CHEMBL3182945	C(C(=O)[O-])C(=O)[O-].[Na+].[Na+]
238	cpd:C06727	66008-19-3	8949.0	16843		C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O.[Mg+2]
239	cpd:C06728	933-99-3	8950.0	16572		C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O.[Na+].[Na+]
240	cpd:C10954	52570-16-8	13137.0	7475		C(C(=O)[O-])C(CC(=O)[O-])(C(=O)O)O.[Sr+2]
241	cpd:C10953	51218-45-2	13136.0	6902	CHEMBL1884974	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ca+2].[Ca+2].[Ca+2]
242	cpd:C11161	1239-45-8	13343.0	4883	CHEMBL284328	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Co+2].[Co+2].[Co+2]
243	cpd:C08830	1449-09-8	11023.0	1307	CHEMBL376350	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Zn+2].[Zn+2].[Zn+2]
244	cpd:C10952	122931-48-0	13135.0	8866	CHEMBL1867091	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Bi+3]
245	cpd:C11162		13344.0	69451	CHEMBL328060	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[K+].[K+].[K+]
246	cpd:C03393		6224.0	49003	CHEMBL1160945	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]
247	cpd:C08339	22660-96-4	10537.0	8525		C(C(=O)[O-])C(CO)(C(=O)[O-])C(=O)[O-].[Ce+3]
248	cpd:C02160	3371-50-4	5236.0	27649		C(C(=O)[O-])F
249	cpd:C02163		5239.0	18366		C(C(=O)[O-])I.[Na+]
250	cpd:C11401		13575.0	166		C(C(=O)[O-])NCC(=O)[O-].[Na+].[Na+]
251	cpd:C10958	77639-66-8	13141.0	8415	CHEMBL2111033	C(C(=O)[O-])S.C(C(=O)[O-])S.[Ca+2]
252	cpd:C06790	79-01-6	9010.0	16602	CHEMBL279816	C(C(=O)[O-])S[Bi](SCC(=O)[O-])SCC(=O)[O-].[Na+].[Na+].[Na+]
253	cpd:C03614		6400.0	28505		C(C(Br)(Br)Br)O
254	cpd:C03851		6588.0	16771	CHEMBL583986	C(C(Br)Br)(Br)Br
255	cpd:C10950	94125-34-5	13133.0	8523	CHEMBL2251587	C(C(C#N)(Cl)Cl)Cl
256	cpd:C09555	301-21-3	11746.0	76105		C(C(C(=O)O)Br)Br
257	cpd:C09071	10118-56-6	11263.0	3445		C(C(C(=O)O)Cl)Cl
258	cpd:C11169	72-14-0	13351.0	9337	CHEMBL437	C(C(C(=O)O)F)N
259	cpd:C11168	58-46-8	13350.0	64028 9467	CHEMBL117785	C(C(C(=O)O)F)[NH3+].[Cl-]
260	cpd:C01074	1811-31-0	4312.0	28800		C(C(C(=O)O)NC(=O)CP(=O)(O)O)C(=O)O
261	cpd:C02389		5425.0	17977		C(C(C(=O)O)O)(C(=O)O)N
262	cpd:C09075	464-71-1	11267.0	67461	CHEMBL2269422	C(C(C(=O)O)O)N
263	cpd:C03444	59-85-8	6268.0	28420		C(C(C(=O)O)S)C(=O)O
264	cpd:C11173	86639-52-3	13355.0	8988	CHEMBL837	C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+]
265	cpd:C06505		8736.0	28531		C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+]
266	cpd:C10975		13158.0	9677	CHEMBL2288785	C(C(C(=O)[O-])O)C(=O)[O-].[Pb+2]
267	cpd:C08064	20310-89-8	10264.0	75439		C(C(C(C(C(=O)O)O)O)O)O
268	cpd:C03656		6434.0	27713		C(C(C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
269	cpd:C07576	520-52-5	9779.0	8614	CHEMBL194378	C(C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
270	cpd:C07575	77-10-1	9778.0	8058	CHEMBL275528	C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
