	KEGG	CAS	PUBCHEM	CHEBI	CHEMBL	SMILES
12580	cpd:C15323		17396320.0	79825		COC1=CC=C(C=C1)C2=NC(=NN2)SCC3=CC=C(C=C3)C(=O)N
12581	cpd:C15386		17396383.0	79887		COC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)N4CCN(CC4)CC5=NN=C6N5CCCCC6
12582	cpd:C15057		17396054.0	79577		COC1=CC=C(C=C1)C2=NN=C(N2CC3CCCO3)SCC4=NC(=O)C5=C(N4)C=CS5
12583	cpd:C19564		124490236.0	82562		COC1=CC=C(C=C1)C2=NNC(=O)C[C@@H]2CN3CCCC3
12584	cpd:C19565	59578-62-0	124490237.0	82563	CHEMBL17416	COC1=CC=C(C=C1)C2=NNC(=O)C[C@H]2CN3CCCC3
12585	cpd:C02207		5275.0	15337 50531		COC1=CC=C(C=C1)C2=N[N+](=C(C=C2)N)CCCC(=O)O
12586	cpd:C13758	71145-03-4	586344.0	34555	CHEMBL1082832	COC1=CC=C(C=C1)C2C(CC(=O)O2)(C(=O)OC)O
12587	cpd:C14660	1755-52-8	17395659.0	34610	CHEMBL1893014	COC1=CC=C(C=C1)C2CCCN2CC(=O)NC(=O)C3=CC=C(C=C3)OC
12588	cpd:C14865		17395863.0	34253		COC1=CC=C(C=C1)C2CCCN2CN3C(=O)C4CC=CCC4C3=O
12589	cpd:C13622	29426-78-6	586240.0			COC1=CC=C(C=C1)C2OCCC3(O2)CCCCC3
12590	cpd:C10321	520-63-8	12507.0	5642		COC1=CC=C(C=C1)C=C
12591	cpd:C11063	1836-77-7	13245.0	3620		COC1=CC=C(C=C1)C=CC(=O)O
12592	cpd:C08175	2392-39-4	10375.0		CHEMBL2021430	COC1=CC=C(C=C1)C=CC2=CC(=CC(=O)O2)OC
12593	cpd:C12214		14359.0	31203		COC1=CC=C(C=C1)C=CC2=CC=CC=C2
12594	cpd:C14734	53905-29-6	17395733.0	34192		COC1=CC=C(C=C1)CC(=O)NC2=CN=C(N=C2)C3=CC=CC=C3
12595	cpd:C15739	131998-54-4	47205065.0	80068	CHEMBL486264	COC1=CC=C(C=C1)CC(=O)NCC2=CC=NN2
12596	cpd:C05308		7690.0	6468		COC1=CC=C(C=C1)CC(=O)O
12597	cpd:C11082	85438-98-8	13264.0	1221		COC1=CC=C(C=C1)CC2=CC=CC=C2
12598	cpd:C06587		8815.0	28978		COC1=CC=C(C=C1)CC=C
12599	cpd:C15700		47205026.0	61521		COC1=CC=C(C=C1)CCC(=O)NCC2=CC=NN2
12600	cpd:C01487	2595-97-3	4657.0	4093	CHEMBL1222152	COC1=CC=C(C=C1)CCN
12601	cpd:C15647		17396637.0	73327		COC1=CC=C(C=C1)CCNC(=O)CC2=CC=C(C=C2)C(F)(F)F
12602	cpd:C15196		17396193.0	79711	CHEMBL3277320	COC1=CC=C(C=C1)CCNC(=O)CC2C(=O)NC3=CC=CC=C3S2
12603	cpd:C13836		854081.0	34601		COC1=CC=C(C=C1)CCNC2=NC=NC=C2
12604	cpd:C18340	84309-23-9	124489014.0	81686	CHEMBL1923953	COC1=CC=C(C=C1)CC[C@@H](C2CC2)O
12605	cpd:C18341	66170-10-3	124489015.0	81687		COC1=CC=C(C=C1)CC[C@H](C2CC2)O
12606	cpd:C15461	25495-42-5	17396458.0	79958		COC1=CC=C(C=C1)CN2CCN(CC2)C(=O)CN3C=NC4=C(C3=O)C(=CS4)C5=CC=C(C=C5)F
12607	cpd:C14061	18361-50-7	854299.0	34818	CHEMBL3251855	COC1=CC=C(C=C1)CNC(=O)CC2=CC=CC=C2
12608	cpd:C14220	611-99-4	7847030.0	34365	CHEMBL194859	COC1=CC=C(C=C1)CNC(=O)COC(=O)CCC2=NC3=CC=CC=C3S2
12609	cpd:C01078		4316.0	17430		COC1=CC=C(C=C1)CNS(=O)(=O)C2=CC=C(S2)S(=O)(=O)N
12610	cpd:C14010	7081-44-9	854251.0	34978	CHEMBL1200388	COC1=CC=C(C=C1)CNS(=O)(=O)C2=CC=CC=C2
12611	cpd:C05361	302-01-2	7738.0	15571	CHEMBL1237174	COC1=CC=C(C=C1)CO
12612	cpd:C05194	28342-26-9	7599.0	17789	CHEMBL518879	COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2
12613	cpd:C13863		854108.0	34227		COC1=CC=C(C=C1)COC2=CC3=C(C=C2)C4=CC=CC=C4C(=O)O3
12614	cpd:C09981	17924-92-4	12167.0	10106	CHEMBL454173	COC1=CC=C(C=C1)Cl
12615	cpd:C07785	87233-61-2	9987.0	4779	CHEMBL594	COC1=CC=C(C=C1)F
12616	cpd:C14479	2135-17-3	17395479.0	34764	CHEMBL1201392	COC1=CC=C(C=C1)N2C(=NN=N2)SCC3=CN4C=CC=CC4=N3
12617	cpd:C13741		586330.0	40532	CHEMBL133463	COC1=CC=C(C=C1)N2C(=O)C(C(=O)NC2=O)CC3=CC(=C(C=C3)O)OC
12618	cpd:C10748	56293-29-9	12931.0	2609		COC1=CC=C(C=C1)N2C(=O)N(C(=O)C23CCCCC3)CCO
12619	cpd:C14526	85785-20-2	17395526.0	34743	CHEMBL2252174	COC1=CC=C(C=C1)N2C(NC3=CC=CC=C3C2=O)C4=CC=CC=N4
12620	cpd:C13392	275-51-4	586134.0	31249	CHEMBL3272628	COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=CC(=C(C=C3)Cl)Cl
12621	cpd:C13202	7695-91-2	585946.0	32321	CHEMBL1047	COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NCC3=CC=C(C=C3)Cl
12622	cpd:C13391	21645-51-2	586133.0	33130	CHEMBL1200706	COC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NCCC3=CC=C(C=C3)Cl
12623	cpd:C14301	115-32-2	17395301.0	34692	CHEMBL228511	COC1=CC=C(C=C1)N2CCN(CC2)CCCNC(=O)C3=CC=CC=C3F
12624	cpd:C18555	82692-44-2	124489229.0	81829		COC1=CC=C(C=C1)N2C[C@@H](CC2=O)C(=O)NCC3=CC(=CC=C3)Cl
12625	cpd:C18556	71561-11-0	124489230.0	81830		COC1=CC=C(C=C1)N2C[C@H](CC2=O)C(=O)NCC3=CC(=CC=C3)Cl
12626	cpd:C18921	54864-61-8	124489593.0	82063		COC1=CC=C(C=C1)N2[C@@H](C(=C(C2=O)O)S(=O)(=O)C3=CC=CC=C3)C4=CC=C(C=C4)C(=O)O
12627	cpd:C18922	32534-96-6	124489594.0	82064		COC1=CC=C(C=C1)N2[C@H](C(=C(C2=O)O)S(=O)(=O)C3=CC=CC=C3)C4=CC=C(C=C4)C(=O)O
12628	cpd:C12333		582723.0	31850	CHEMBL1669196	COC1=CC=C(C=C1)NC(=O)C(CC2=CNC3=CC=CC=C32)N
12629	cpd:C07307		9515.0	18106		COC1=CC=C(C=C1)NC(=O)CF
12630	cpd:C16152		47205462.0	80355		COC1=CC=C(C=C1)NC(=O)CN2CCS(=O)(=O)CC2
12631	cpd:C13563	7647-14-5	853926.0	26710	CHEMBL1200574	COC1=CC=C(C=C1)NC(=O)CN=C2N(N=NS2)C3=CC=CC=C3
12632	cpd:C14355	33146-45-1	17395355.0	34249	CHEMBL1232135	COC1=CC=C(C=C1)NC(=O)CNC(=O)C2=CC=C(O2)Br
12633	cpd:C10888	68143-82-8	13071.0	9365	CHEMBL2313009	COC1=CC=C(C=C1)NC2CCCCC2
12634	cpd:C18438	120162-55-2	124489112.0	81746		COC1=CC=C(C=C1)N[C@@H]2CCOC2
12635	cpd:C18439	136849-15-5	124489113.0	81747		COC1=CC=C(C=C1)N[C@H]2CCOC2
12636	cpd:C15757		47205083.0	64650	CHEMBL446988	COC1=CC=C(C=C1)OCC(=O)NCC2=CC=NN2
12637	cpd:C10582	33442-48-7	12765.0	3804		COC1=CC=C(C=C1)S
12638	cpd:C00979	5147-00-2	4228.0	17981		COC1=CC=C(C=C1)S(=O)(=O)C2CC3=CC=CC=C3CC2C(=O)NO
12639	cpd:C04844		7401.0	29086		COC1=CC=C(C=C1)S(=O)(=O)Cl
12640	cpd:C00980	9002-89-5	4229.0	17246		COC1=CC=C(C=C1)S(=O)(=O)N2CC3=CC=CC=C3CC2C(=O)NO
12641	cpd:C14353	2051-60-7	17395353.0	34269	CHEMBL191745	COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)NCC#C
12642	cpd:C00982		4230.0	16531		COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2C(=O)NO)C(=O)OCC3=CC=CC=C3
