Pubchem-id_ref	Kegg-id_ref	Pubchem-id_kegg	Kegg-id_kegg	Tanimoto_score	Is_ket_or_ald
3303	C00001	3371	C00071	0.5000000000000001	0
3303	C00001	3848	C00569	0.5353535353535352	0
3303	C00001	3866	C00587	0.505050505050505	0
3303	C00001	3946	C00677	0.5877192982456142	0
3303	C00001	4602	C01414	0.5135135135135136	0
3303	C00001	4702	C01541	0.5353535353535352	0
3303	C00001	6140	C03281	0.5833333333333333	0
3303	C00001	9307	C07096	0.5225225225225226	0
3303	C00001	11371	C09179	0.5537037037037037	0
3303	C00001	11970	C09782	0.5520833333333333	0
3303	C00001	12886	C10703	0.5047619047619047	0
3303	C00001	124489882	C19210	0.5772357723577236	0
3303	C00001	124489882	C19210	0.5772357723577236	0
3303	C00001	124489976	C19304	0.5666666666666668	0
69117	not available	5443	C02410	0.5512820512820512	1
69117	not available	5758	C02808	0.5802469135802469	1
69117	not available	5759	C02809	0.5057471264367815	1
69117	not available	5788	C02850	0.5897435897435896	1
69117	not available	6940	C04277	0.5512820512820512	1
69117	not available	7039	C04403	0.5061728395061729	1
69117	not available	7052	C04420	0.5476190476190476	1
69117	not available	8374	C06112	0.5512820512820512	1
69117	not available	8496	C06257	0.5277777777777778	1
69117	not available	9338	C07128	0.7066666666666666	1
69117	not available	9796	C07594	0.5802469135802469	1
69117	not available	9935	C07733	0.5512820512820512	1
69117	not available	10253	C08053	0.5402298850574713	1
69117	not available	10356	C08156	0.5833333333333334	1
69117	not available	10716	C08523	0.5679012345679012	1
69117	not available	11288	C09096	0.7246376811594203	1
69117	not available	11812	C09622	0.8115942028985507	1
69117	not available	11874	C09684	0.5720000000000001	1
69117	not available	11897	C09708	0.5897435897435896	1
69117	not available	11968	C09780	0.5476190476190476	1
69117	not available	11970	C09782	0.5308641975308641	1
69117	not available	12077	C09891	0.6956521739130435	1
69117	not available	13401	C11222	0.5512820512820512	1
69117	not available	14332	C12186	0.5384615384615384	1
606255	not available	4201	C00950	0.6666666666666666	1
