Pubchem-id	Isomeric-SMILES	Canonical-SMILES	InChI
3303	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)
69117	C1=CC(=C(C(=C1)C(=O)O)O)C=O	C1=CC(=C(C(=C1)C(=O)O)O)C=O	InChI=1S/C8H6O4/c9-4-5-2-1-3-6(7(5)10)8(11)12/h1-4,10H,(H,11,12)
606255	C1CCN(CC1)C2=NC(=NC(=C2)N)N	C1CCN(CC1)C2=NC(=NC(=C2)N)N	InChI=1S/C9H15N5/c10-7-6-8(13-9(11)12-7)14-4-2-1-3-5-14/h6H,1-5H2,(H4,10,11,12,13)
86289573	C([C@@H]([C@@H]([C@@H](CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N=CC=O	C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N=CC=O	InChI=1S/C11H16N4O7/c16-2-1-12-7-9(14-11(22)15-10(7)21)13-3-5(18)8(20)6(19)4-17/h1-2,5-6,8,17-20H,3-4H2,(H3,13,14,15,21,22)/t5-,6+,8-/m0/s1
86289574	CC(=O)C=NC1=C(NC(=O)NC1=O)NC[C@@H]([C@@H]([C@@H](CO)O)O)O	CC(=O)C=NC1=C(NC(=O)NC1=O)NCC(C(C(CO)O)O)O	InChI=1S/C12H18N4O7/c1-5(18)2-13-8-10(15-12(23)16-11(8)22)14-3-6(19)9(21)7(20)4-17/h2,6-7,9,17,19-21H,3-4H2,1H3,(H3,14,15,16,22,23)/t6-,7+,9-/m0/s1
135409352	C1=C(N=C2C(=O)NC(=NC2=N1)N)C=O	C1=C(N=C2C(=O)NC(=NC2=N1)N)C=O	InChI=1S/C7H5N5O2/c8-7-11-5-4(6(14)12-7)10-3(2-13)1-9-5/h1-2H,(H3,8,9,11,12,14)
