Pubchem-id_ref	Kegg-id_ref	Pubchem-id_kegg	Kegg-id_kegg	Tanimoto_score	Is_ket_or_ald	Human_compound
3303	C00001	3332	C00030	0.44444444444444436	0	1
3303	C00001	3371	C00071	0.5000000000000001	0	1
3303	C00001	3474	C00174	0.4025157232704402	0	0
3303	C00001	3786	C00503	0.40170940170940167	0	0
3303	C00001	3848	C00569	0.5353535353535354	0	0
3303	C00001	3858	C00579	0.42342342342342343	0	1
3303	C00001	3866	C00587	0.5050505050505051	0	0
3303	C00001	3946	C00677	0.5877192982456141	0	1
3303	C00001	4037	C00775	0.4796747967479674	0	0
3303	C00001	4044	C00786	0.4341880341880342	0	0
3303	C00001	4164	C00909	0.41269841269841273	0	0
3303	C00001	4301	C01062	0.47863247863247876	0	0
3303	C00001	4386	C01158	0.4055555555555555	0	0
3303	C00001	4573	C01378	0.462962962962963	0	0
3303	C00001	4602	C01414	0.5135135135135136	0	0
3303	C00001	4702	C01541	0.5353535353535354	0	0
3303	C00001	4703	C01542	0.44761904761904764	0	0
3303	C00001	4753	C01599	0.4411764705882353	0	0
3303	C00001	4775	C01624	0.43137254901960786	0	0
3303	C00001	4779	C01629	0.40151515151515144	0	1
3303	C00001	5042	C01937	0.435374149659864	0	0
3303	C00001	5443	C02410	0.43137254901960786	0	0
3303	C00001	5507	C02495	0.4957264957264958	0	0
3303	C00001	5527	C02517	0.4523809523809524	0	0
3303	C00001	5733	C02782	0.4444444444444444	0	0
3303	C00001	5764	C02814	0.42342342342342343	0	0
3303	C00001	5897	C02988	0.44210526315789467	0	1
3303	C00001	6140	C03281	0.5833333333333334	0	0
3303	C00001	6305	C03493	0.40650406504065034	0	0
3303	C00001	6698	C03981	0.42721088435374166	0	0
3303	C00001	6799	C04109	0.4083333333333333	0	0
3303	C00001	6806	C04117	0.425	0	0
3303	C00001	6814	C04128	0.4083333333333333	0	0
3303	C00001	6940	C04277	0.43137254901960786	0	0
3303	C00001	7139	C04529	0.42857142857142855	0	0
3303	C00001	7158	C04553	0.4083333333333334	0	0
3303	C00001	7168	C04565	0.45882352941176463	0	0
3303	C00001	7587	C05176	0.41904761904761906	0	1
3303	C00001	7595	C05190	0.4055555555555555	0	0
3303	C00001	7625	C05229	0.4019607843137255	0	0
3303	C00001	7679	C05295	0.45833333333333337	0	1
3303	C00001	7680	C05296	0.45833333333333337	0	1
3303	C00001	7683	C05299	0.4444444444444445	0	1
3303	C00001	7689	C05307	0.41904761904761906	0	0
3303	C00001	7690	C05308	0.4747474747474748	0	0
3303	C00001	8323	C06052	0.41666666666666663	0	0
3303	C00001	8374	C06112	0.43137254901960786	0	1
3303	C00001	8425	C06174	0.4144144144144144	0	1
3303	C00001	8426	C06175	0.4504504504504504	0	0
3303	C00001	8599	C06363	0.43412698412698414	0	0
3303	C00001	8614	C06378	0.43243243243243246	0	0
3303	C00001	8690	C06457	0.4473684210526316	0	0
3303	C00001	8784	C06555	0.43137254901960786	0	0
3303	C00001	8805	C06576	0.4166666666666667	0	0
3303	C00001	6305	C03493	0.40650406504065034	0	0
3303	C00001	9307	C07096	0.5225225225225226	0	0
3303	C00001	9348	C07139	0.4864864864864865	0	0
3303	C00001	9465	C07256	0.5	0	0
3303	C00001	9571	C07367	0.40476190476190477	0	0
3303	C00001	9601	C07397	0.4444444444444445	0	0
3303	C00001	9812	C07610	0.42857142857142855	0	0
3303	C00001	9935	C07733	0.43137254901960786	0	0
3303	C00001	10210	C08010	0.4085470085470085	0	0
3303	C00001	10253	C08053	0.43243243243243246	0	0
3303	C00001	10716	C08523	0.40740740740740744	0	0
3303	C00001	10718	C08525	0.4504504504504504	0	0
3303	C00001	10732	C08539	0.43518518518518523	0	0
3303	C00001	10871	C08678	0.4444444444444445	0	0
3303	C00001	11056	C08863	0.41363636363636364	0	0
3303	C00001	11331	C09139	0.4385964912280702	0	0
3303	C00001	11349	C09157	0.4034188034188034	0	0
3303	C00001	11371	C09179	0.5537037037037038	0	0
3303	C00001	11393	C09202	0.4594594594594595	0	0
3303	C00001	11471	C09280	0.40476190476190477	0	0
3303	C00001	11479	C09288	0.4537037037037038	0	0
3303	C00001	11826	C09636	0.4368421052631579	0	0
3303	C00001	11914	C09726	0.4607843137254902	0	0
3303	C00001	11924	C09736	0.4055555555555555	0	0
3303	C00001	11968	C09780	0.4761904761904762	0	0
3303	C00001	11969	C09781	0.40740740740740744	0	0
3303	C00001	11970	C09782	0.5520833333333334	0	0
3303	C00001	12031	C09844	0.4761904761904762	0	1
3303	C00001	12147	C09961	0.4444444444444445	0	0
3303	C00001	12870	C10687	0.4083333333333333	0	0
3303	C00001	12886	C10703	0.5047619047619047	0	0
3303	C00001	12887	C10704	0.44144144144144143	0	0
3303	C00001	13245	C11063	0.40740740740740744	0	0
3303	C00001	13293	C11111	0.45185185185185184	0	0
3303	C00001	13299	C11117	0.4324324324324324	0	0
3303	C00001	13672	C11502	0.4607843137254902	0	0
3303	C00001	13893	C11728	0.43518518518518523	0	0
3303	C00001	13918	C11754	0.488235294117647	0	0
3303	C00001	14124	C11963	0.40350877192982454	0	0
3303	C00001	14137	C11976	0.47719298245614045	0	0
3303	C00001	14151	C11990	0.4216216216216216	0	0
3303	C00001	14340	C12194	0.40540540540540543	0	0
3303	C00001	582736	C12346	0.41269841269841273	0	0
3303	C00001	582799	C12409	0.4217687074829932	0	0
3303	C00001	582999	C12609	0.4280701754385965	0	0
3303	C00001	583142	C12753	0.4358974358974359	0	0
3303	C00001	853907	C13540	0.41666666666666663	0	0
3303	C00001	853992	C13651	0.4054054054054054	0	0
3303	C00001	853993	C13652	0.4054054054054054	0	0
3303	C00001	586276	C13687	0.40740740740740744	0	0
3303	C00001	586323	C13734	0.4146341463414634	0	0
3303	C00001	854045	C13800	0.40650406504065034	0	0
3303	C00001	854057	C13812	0.4333333333333333	0	0
3303	C00001	854064	C13819	0.48034188034188036	0	0
3303	C00001	854352	C14116	0.40740740740740744	0	0
3303	C00001	854352	C14116	0.40740740740740744	0	0
3303	C00001	854352	C14116	0.40740740740740744	0	0
3303	C00001	854352	C14116	0.40740740740740744	0	0
3303	C00001	17395277	C14277	0.40434782608695646	0	0
3303	C00001	17395304	C14304	0.43739837398373976	0	0
3303	C00001	17395324	C14324	0.46324786324786327	0	0
3303	C00001	17395339	C14339	0.40740740740740744	0	0
3303	C00001	17395340	C14340	0.40740740740740744	0	0
3303	C00001	17395410	C14410	0.425	0	0
3303	C00001	17395425	C14425	0.4130081300813007	0	0
3303	C00001	17395426	C14426	0.42833333333333334	0	0
3303	C00001	17395533	C14533	0.4341880341880341	0	0
3303	C00001	17395685	C14686	0.4178861788617887	0	0
3303	C00001	17395733	C14734	0.40303030303030307	0	0
3303	C00001	17395920	C14922	0.40277777777777785	0	0
3303	C00001	17396208	C15211	0.40740740740740744	0	0
3303	C00001	17396211	C15214	0.40151515151515155	0	0
3303	C00001	17396255	C15258	0.4722222222222221	0	0
3303	C00001	17396259	C15262	0.40650406504065034	0	0
3303	C00001	17396264	C15267	0.41666666666666663	0	0
3303	C00001	17396265	C15268	0.45736434108527124	0	0
3303	C00001	17396369	C15372	0.4444444444444444	0	0
3303	C00001	17396511	C15519	0.446969696969697	0	1
3303	C00001	17396597	C15605	0.417687074829932	0	1
3303	C00001	17396625	C15635	0.4393939393939394	0	0
3303	C00001	17396632	C15642	0.45299145299145294	0	0
3303	C00001	47205076	C15750	0.425	0	0
3303	C00001	47205291	C15978	0.425	0	1
3303	C00001	47205625	C16317	0.425	0	0
3303	C00001	47205628	C16320	0.4308943089430894	0	0
3303	C00001	47205660	C16352	0.42592592592592593	0	0
3303	C00001	124489812	C19140	0.4385964912280702	0	0
3303	C00001	124489812	C19140	0.4385964912280702	0	0
