Pubchem-id_ref	Pubchem-id_kegg	Tanimoto_score
3033	3848	0.5353535353535354
3033	3866	0.5050505050505051
3033	3946	0.5877192982456141
3033	4602	0.5135135135135135
3033	4702	0.5353535353535354
3033	6140	0.5833333333333334
3033	9307	0.5225225225225226
3033	11371	0.5537037037037037
3033	11970	0.5520833333333334
3033	12886	0.5047619047619047
3033	124489882	0.5772357723577238
3033	124489882	0.5772357723577238
3033	124489976	0.5666666666666667
69117	5443	0.5512820512820513
69117	5758	0.5802469135802469
69117	5759	0.5057471264367817
69117	5788	0.5897435897435898
69117	6940	0.5512820512820513
69117	7039	0.5061728395061729
69117	7052	0.5476190476190477
69117	8374	0.5512820512820513
69117	8496	0.5277777777777778
69117	9338	0.7066666666666667
69117	9796	0.5802469135802469
69117	9935	0.5512820512820513
69117	10253	0.5402298850574713
69117	10356	0.5833333333333334
69117	10716	0.5679012345679012
69117	11288	0.7246376811594202
69117	11812	0.8115942028985508
69117	11874	0.5720000000000001
69117	11897	0.5897435897435898
69117	11968	0.5476190476190477
69117	11970	0.5308641975308642
69117	12077	0.6956521739130435
69117	13401	0.5512820512820513
69117	14332	0.5384615384615384
606255	4201	0.6666666666666666
